Incident Date,Incident Time,Incident Year,Incident Day of Week,Incident ID,Incident Number,Incident Category,Incident Subcategory,Incident Description,Intersection,Police District,Analysis Neighborhood,Latitude,Longitude
12/12/24,14:11,2024,Thursday,1446986,240767179,Assault,Simple Assault,Battery,07TH ST \ MISSION ST,Southern,South of Market,37.77921295,-122.4109344
12/12/24,13:06,2024,Thursday,1446988,240767044,Burglary,Burglary - Residential,"Burglary, Apartment House, Unlawful Entry",12TH ST \ BERNICE ST,Southern,Mission,37.7703476,-122.4137497
12/12/24,12:48,2024,Thursday,1446995,240766927,Assault,Aggravated Assault,"Assault, Aggravated, W/ Other Weapon",ELLIS ST \ HYDE ST,Tenderloin,Tenderloin,37.78445053,-122.416069
12/12/24,2:00,2024,Thursday,1447004,240767555,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",FELTON ST \ GOETTINGEN ST,Bayview,Portola,37.72925949,-122.4075623
12/12/24,15:30,2024,Thursday,1447006,240767527,Assault,Simple Assault,Battery,RAYMOND AVE \ RUTLAND ST,Ingleside,Visitacion Valley,37.71322632,-122.4070587
12/12/24,12:30,2024,Thursday,1447007,240767135,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",BROADWAY \ STOCKTON ST,Central,Chinatown,37.7976265,-122.4086151
12/12/24,16:20,2024,Thursday,1447011,240767624,Burglary,Burglary - Hot Prowl,"Burglary, Hot Prowl, Unlawful Entry",BAY VIEW ST \ LATONA ST,Bayview,Bayview Hunters Point,37.73248672,-122.3923569
12/12/24,16:28,2024,Thursday,1447013,240767533,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, <$50",GRANT AVE \ WASHINGTON ST,Central,Chinatown,37.79514313,-122.4064789
11/21/24,18:21,2024,Thursday,1447014,240767696,Burglary,Burglary - Other,"Burglary, Non-residential, Unlawful Entry",BUCHANAN ST \ LAUSSAT ST,Northern,Hayes Valley,37.77206039,-122.427063
12/12/24,17:33,2024,Thursday,1447019,240767652,Assault,Aggravated Assault,"Assault, Aggravated, W/ Force",11TH ST \ MINNA ST,Southern,South of Market,37.77390671,-122.4165726
12/12/24,17:33,2024,Thursday,1447019,240767652,Assault,Simple Assault,Battery with Serious Injuries,11TH ST \ MINNA ST,Southern,South of Market,37.77390671,-122.4165726
12/12/24,17:33,2024,Thursday,1447019,240767652,Assault,Simple Assault,False Imprisonment,11TH ST \ MINNA ST,Southern,South of Market,37.77390671,-122.4165726
12/12/24,18:43,2024,Thursday,1447031,240767787,Assault,Simple Assault,Battery,DRUMMOND ALY \ QUINT ST,Bayview,Bayview Hunters Point,37.73746872,-122.3962326
12/12/24,19:37,2024,Thursday,1447037,240767840,Assault,Simple Assault,Battery,16TH ST \ BRYANT ST,Mission,Mission,37.76560593,-122.4104843
12/12/24,19:40,2024,Thursday,1447038,240767862,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Vehicle",16TH ST \ BRYANT ST,Mission,Mission,37.76560593,-122.4104843
12/12/24,18:41,2024,Thursday,1447040,240767771,Assault,Simple Assault,Battery,FILLMORE ST \ TURK ST,Northern,Western Addition,37.78049469,-122.4321442
12/12/24,18:41,2024,Thursday,1447040,240767771,Larceny Theft,Larceny Theft - Other,"Theft, From Person, $200-$950 (other than Pickpocket)",FILLMORE ST \ TURK ST,Northern,Western Addition,37.78049469,-122.4321442
12/12/24,18:41,2024,Thursday,1447040,240767771,Malicious Mischief,Vandalism,"Malicious Mischief, Breaking Windows",FILLMORE ST \ TURK ST,Northern,Western Addition,37.78049469,-122.4321442
12/12/24,8:00,2024,Thursday,1447041,240767599,Burglary,Burglary - Residential,"Burglary, Residence, Unlawful Entry",GLADYS ST \ SANTA MARINA ST,Ingleside,Bernal Heights,37.74030304,-122.4222565
12/12/24,17:15,2024,Thursday,1447049,240767765,Assault,Simple Assault,Battery,OFARRELL ST \ POWELL ST,Central,Tenderloin,37.78641129,-122.4080353
12/12/24,19:10,2024,Thursday,1447056,240767953,Assault,Aggravated Assault,"Assault, Aggravated, W/ Other Weapon",17TH ST \ POTRERO AVE,Mission,Mission,37.76448822,-122.4074173
12/12/24,19:46,2024,Thursday,1447057,240767834,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Recovered, Stolen outside SF",12TH ST \ FOLSOM ST,Southern,Mission,37.77089691,-122.4149933
12/12/24,20:32,2024,Thursday,1447064,240768020,Assault,Aggravated Assault,"Assault, Aggravated, W/ Force",24TH ST \ POPLAR ST,Mission,Mission,37.7520752,-122.4211426
12/12/24,3:45,2024,Thursday,1447085,240768230,Assault,Aggravated Assault,"Firearm, Discharging in Grossly Negligent Manner",21ST ST \ SAN CARLOS ST,Mission,Mission,37.75698853,-122.4196854
12/12/24,0:30,2024,Thursday,1447089,240768309,Burglary,Burglary - Other,"Burglary, Other Bldg., Forcible Entry",COLEMAN ST \ JERROLD AVE \ KENNEDY PL \ KIRKWOOD AVE,Bayview,Bayview Hunters Point,37.72722244,-122.368988
12/5/24,0:00,2024,Thursday,1447108,246159346,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",45TH AVE \ VICENTE ST,Taraval,Sunset/Parkside,37.73809814,-122.5032883
12/5/24,16:55,2024,Thursday,1447115,246159186,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",CAPITOL AVE \ MONTANA ST,Taraval,Oceanview/Merced/Ingleside,37.71660233,-122.4590607
12/5/24,18:40,2024,Thursday,1447116,246159318,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, >$950",20TH AVE \ BUCKINGHAM WAY \ WINSTON DR,Taraval,Lakeshore,37.7301178,-122.4759369
